index,STARTSTATIONNAME,ENDSTATIONNAME,NUMBEROFTRIPS,DELTATIME,STARTSTATIONID,ENDSTATIONID
0,Papineau / Émile-Journault,Marmier / St-Denis,4,10 days 18:39:54.655250,675,168
1,Cartier / Marie-Anne,Marmier / St-Denis,11,4 days 19:26:08.195909090,544,168
2,Messier / St-Joseph,Roy / St-André,6,4 days 12:45:42.920500,752,43
3,Robert-Bourassa / St-Maurice,Métro St-Laurent ( de Maisonneuve / St-Laurent),4,4 days 10:57:09.895500,49,834
4,Métro Viau ( Pierre-de-Coubertin / Viau),Métro Laurier (Berri / St-Joseph),1,3 days 23:37:35.312000,329,537
5,15e avenue / Laurier,Gary-Carter / St-Laurent,3,3 days 17:13:29.130000,378,396
6,Fabrik8 (Waverly / Jean-Talon),Robert-Bourassa / René-Lévesque,1,2 days 23:38:51.911000,801,873
7,Métro St-Laurent ( de Maisonneuve / St-Laurent),St-Antoine / de la Montagne,3,2 days 12:46:03.353000,834,305
8,Jeanne-Mance / René-Lévesque,de Maisonneuve / Aylmer (ouest),3,1 days 23:08:15.752000,582,68
9,Marmier / St-Denis,St-Hubert / de Maisonneuve (sud),3,1 days 20:53:42.864000,168,822
10,de la Commune / St-Sulpice,des Pins / St-Laurent,1,1 days 18:17:49.753000,35,209
11,Métro Parc  (Hutchison / Ogilvy),Chabanel / du Parc,7,1 days 08:53:29.408857142,408,623
12,Aylwin / Ontario,Robert-Bourassa / René-Lévesque,2,1 days 08:21:37.635500,325,873
13,St-Hubert / du Mont-Royal,René-Lévesque / Panet,1,1 days 04:44:44.628000,187,94
14,Masson / Molson,Fabrik8 (Waverly / Jean-Talon),3,0 days 23:04:17.864000,780,801
15,Émile-Duployé / Sherbrooke,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),2,0 days 22:34:41.489000,148,388
16,du Mont-Royal / de Brébeuf,Bennett / Ste-Catherine,2,0 days 21:54:20.265000,157,530
17,St-Hubert / de Maisonneuve (nord),des Carrières / Marquette,1,0 days 20:23:53.239000,594,130
18,St-Hubert / du Mont-Royal,Omer-Lavallée / du Midway,2,0 days 19:11:23.071000,187,385
19,de la Montagne / Notre-Dame,Marché Maisonneuve,1,0 days 18:56:48.830000,291,330
20,Métro St-Michel (Shaughnessy / St-Michel),Omer-Lavallée / du Midway,6,0 days 18:14:25.018666666,349,385
21,Rachel / de Brébeuf,Métro Viau ( Pierre-de-Coubertin / Viau),1,0 days 16:55:16.758000,144,329
22,Laurier / St-Denis,Chabanel / du Parc,1,0 days 16:37:41.228000,558,623
23,de Maisonneuve / Aylmer (ouest),Chabanel / du Parc,1,0 days 16:04:16.978000,68,623
24,Parc Jeanne-Mance (du Mont-Royal / du Parc),BAnQ (Berri),5,0 days 15:22:52.034200,220,836
25,des Érables / Rachel,Robert-Bourassa / St-Maurice,2,0 days 14:00:33.052000,142,49
26,St-Denis / de Maisonneuve,des Carrières / Marquette,3,0 days 13:12:15.658666666,15,130
27,Gary-Carter / St-Laurent,Métro Atwater (Atwater / Ste-Catherine),2,0 days 12:53:30.383000,396,83
28,Smith / Peel,des Bassins / du Séminaire,8,0 days 12:50:13.377250,641,290
29,Marmier / St-Denis,Molson / Wiliam-Tremblay,1,0 days 12:38:30.055000,168,886
30,McTavish / Sherbrooke,du Havre / Hochelaga,4,0 days 12:26:38.617750,608,80
31,Marmier / St-Denis,René-Lévesque / Papineau,3,0 days 12:02:57.433333333,168,95
32,Lajeunesse / Villeray,Métro Lionel-Groulx (St-Jacques / Atwater),1,0 days 11:53:42.657000,489,607
33,Jean-Talon / de l'Épée,CHSLD Robert Cliche (de Bellechasse / 16e avenue),4,0 days 10:59:57.299500,500,838
34,de l'Hôtel-de-Ville / Rachel,de Bellechasse / de Lanaudière,10,0 days 10:36:45.134200,309,824
35,Collège de Rosemont (Beaubien / 15e avenue),de Chambly / de Rouen,2,0 days 10:13:29.830500,840,850
36,Métro Laurier (Berri / St-Joseph),Square Victoria (Viger / du Square-Victoria),2,0 days 10:13:10.577000,537,42
37,St-Viateur / Casgrain,Robert-Bourassa / René-Lévesque,2,0 days 10:00:40.472500,532,873
38,Métro Mont-Royal (Utilités publiques / Rivard),Parc Nicolas-Tillemont (des Érables / Villeray),2,0 days 09:20:31.276500,347,835
39,de Gaspé / Marmier,du Parc-Lafontaine / Rachel,1,0 days 09:02:22.423000,692,176
40,de Maisonneuve / Aylmer (est),Métro Mont-Royal (Utilités publiques / Rivard),2,0 days 08:43:42.017000,106,347
41,Lajeunesse / Villeray,Émile-Duployé / Sherbrooke,5,0 days 08:21:34.673000,489,148
42,de l'Hôtel-de-Ville / Rachel,de Gaspé / Marmier,3,0 days 07:37:59.799666666,309,692
43,Omer-Lavallée / du Midway,du Mont-Royal / Clark,4,0 days 07:29:38.300750,385,218
44,René-Lévesque / Panet,Métro Atwater (Atwater / Ste-Catherine),4,0 days 07:23:56.441250,94,83
45,de Bleury / de Maisonneuve,Square Viger (Berri / Viger),7,0 days 07:08:46.865142857,462,839
46,St-Antoine / Jean-Paul Riopelle,de la Commune / Place Jacques-Cartier,6,0 days 07:07:17.345166666,39,25
47,Bennett / Ste-Catherine,Ste-Catherine / Drummond,1,0 days 06:58:54.004000,530,60
48,Métro Crémazie (Crémazie / Lajeunesse),Lanaudière / Jean-Talon,3,0 days 06:19:32.932666666,424,271
49,St-Antoine / Jean-Paul Riopelle,BAnQ (Berri),3,0 days 06:12:54.879000,39,836
50,Clark / Ontario,Complexe Desjardins (St-Urbain / René-Lévesque),12,0 days 05:56:46.446833333,3,888
51,St-Urbain / Laurier,Parc Molson (d'Iberville / Beaubien),22,0 days 05:40:12.660409090,437,769
52,St-Hubert / du Mont-Royal,Clark / de l'Arcade,11,0 days 05:32:05.994909090,187,228
53,Métro Parc  (Hutchison / Ogilvy),de Bellechasse / de Lanaudière,5,0 days 05:21:39.547200,408,824
54,Rachel / de Brébeuf,de Maisonneuve / Fullum,5,0 days 05:20:43.726600,144,97
55,Ste-Catherine / Drummond,St-Jacques / Vinet,1,0 days 05:11:19.415000,60,304
56,de Maisonneuve / Aylmer (est),Métro Sherbrooke (de Rigaud / Berri),4,0 days 05:08:34.658000,106,19
57,du Mont-Royal / Clark,Square Victoria (Viger / du Square-Victoria),27,0 days 05:04:23.767518518,218,42
58,Métro Papineau (Dorion / De Maisonneuve),Gare d'autocars de Montréal (Berri / Ontario),5,0 days 04:54:14.803800,103,740
59,St-Grégoire / Christophe-Colomb,St-Hubert / de Maisonneuve (sud),4,0 days 04:52:17.321000,166,822
60,Roy / St-André,Jeanne-Mance / René-Lévesque,2,0 days 04:47:03.588500,43,582
61,Berri / Rachel,Parc Molson (d'Iberville / Beaubien),9,0 days 04:46:29.535333333,545,769
62,McTavish / Sherbrooke,Molson / Wiliam-Tremblay,14,0 days 04:45:41.219714285,608,886
63,Marché Atwater,Stanley / René-Lévesque,2,0 days 04:45:05.679000,306,57
64,Calixa-Lavallée / Rachel,de Maisonneuve / Mansfield (sud-est),5,0 days 04:40:37.508200,143,421
65,Métro Place-d'Armes (Viger / St-Urbain),Notre-Dame  / St-Martin,1,0 days 04:36:48.778000,31,301
66,Masson / Molson,Villeray / de Normanville,3,0 days 04:33:28.396666666,780,485
67,de Maisonneuve / Mansfield (nord),Garnier / Beaubien,4,0 days 04:32:34.400250,559,47
68,Berri / Rachel,Complexe Desjardins (St-Urbain / René-Lévesque),28,0 days 04:24:38.358785714,545,888
69,du Mont-Royal / Clark,Chabanel / du Parc,3,0 days 04:22:18.604666666,218,623
70,Roy / St-André,Lajeunesse / Villeray,2,0 days 04:20:43.501000,43,489
71,Cathcart / McGill College,Cathcart / McGill College,14,0 days 04:18:53.515357142,59,59
72,Parc Molson (d'Iberville / Beaubien),Métro Acadie (de l'Acadie / Beaumont),1,0 days 04:18:04.351000,769,501
73,Jeanne-Mance / René-Lévesque,Pierre-de-Coubertin / Aird,1,0 days 04:09:51.794000,582,647
74,Lajeunesse / Villeray,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),11,0 days 04:07:38.758545454,489,797
75,des Érables / Rachel,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,0 days 03:50:39.492000,142,797
76,Ste-Catherine / Towers,Atwater / Greene,6,0 days 03:45:50.680666666,86,548
77,Métro Sauvé (Berri / Sauvé),de l'Hôtel-de-Ville / Rachel,1,0 days 03:41:24.081000,208,309
78,Berri / Rachel,St-Hubert / du Mont-Royal,8,0 days 03:36:44.532750,545,187
79,Métro Mont-Royal (Utilités publiques / Rivard),Molson / Wiliam-Tremblay,19,0 days 03:36:11.660263157,347,886
80,de la Côte St-Paul / St-Ambroise,Ottawa / du Séminaire,2,0 days 03:34:31.263500,567,381
81,Garnier / Beaubien,des Pins / St-Laurent,8,0 days 03:30:50.625500,47,209
82,Ste-Catherine / Towers,Métro Laurier (Berri / St-Joseph),2,0 days 03:25:24.591500,86,537
83,Pierre-de-Coubertin / Aird,de Maisonneuve / Aylmer (ouest),2,0 days 03:23:43.938500,647,68
84,Cathcart / McGill College,Ste-Catherine / Bishop,8,0 days 03:15:25.954125,59,87
85,Roy / St-André,de Gaspé / Marmier,3,0 days 03:10:47.202666666,43,692
86,15e avenue / Laurier,Square Victoria (Viger / du Square-Victoria),5,0 days 03:09:49.648800,378,42
87,Gare d'autocars de Montréal (Berri / Ontario),Berri / Rachel,9,0 days 03:09:27.924333333,740,545
88,Parc St-Henri (Laporte / Guay),Rachel / de Brébeuf,2,0 days 03:09:13.179500,427,144
89,de la Porte de Québec / St-André,de la Porte de Québec / St-André,5,0 days 03:05:28.858000,11,11
90,de l'Hôtel-de-Ville / Rachel,des Bassins / du Séminaire,1,0 days 03:03:51.476000,309,290
91,Jeanne-Mance / Sherbrooke,Métro Lionel-Groulx (St-Jacques / Atwater),1,0 days 03:00:29.569000,122,607
92,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Préfontaine / Marcel-Pépin,1,0 days 02:59:14.196000,838,848
93,René-Lévesque / Papineau,Messier / St-Joseph,17,0 days 02:58:53.790000,95,752
94,Métro Crémazie (Crémazie / Lajeunesse),Métro Acadie (de l'Acadie / Beaumont),2,0 days 02:53:22.727500,424,501
95,Émile-Duployé / Sherbrooke,Garnier / Beaubien,8,0 days 02:51:58.379875,148,47
96,de Maisonneuve / Aylmer (ouest),Métro St-Laurent ( de Maisonneuve / St-Laurent),13,0 days 02:51:26.548923076,68,834
97,Bennett / Ste-Catherine,Émile-Duployé / Sherbrooke,1,0 days 02:48:31.570000,530,148
98,St-Denis / de Maisonneuve,McTavish / Sherbrooke,2,0 days 02:48:02.582500,15,608
99,Métro Parc  (Hutchison / Ogilvy),de Gaspé / Marmier,2,0 days 02:47:38.420000,408,692
100,Complexe sportif Claude-Robillard (Émile-Journault),Collège de Rosemont (Beaubien / 15e avenue),1,0 days 02:39:55.061000,517,840
101,Omer-Lavallée / du Midway,Masson / Molson,9,0 days 02:37:29.741666666,385,780
102,Roy / St-André,Lanaudière / Jean-Talon,4,0 days 02:36:48.962250,43,271
103,Métro Champ-de-Mars (Viger / Sanguinet),Molson / Wiliam-Tremblay,7,0 days 02:33:26.457142857,1,886
104,des Bassins / du Séminaire,de l'Hôtel-de-Ville / Rachel,2,0 days 02:30:10.312000,290,309
105,du Parc-Lafontaine / Rachel,St-Rémi / Ste-Émilie,1,0 days 02:27:12.838000,176,379
106,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),St-Grégoire / Christophe-Colomb,7,0 days 02:25:30.076714285,214,166
107,Ste-Catherine / Towers,Ottawa / du Séminaire,11,0 days 02:21:07.754727272,86,381
108,de la Montagne / Notre-Dame,Robert-Bourassa / René-Lévesque,4,0 days 02:13:57.806500,291,873
109,Métro Place-d'Armes (Viger / St-Urbain),de la Commune / Place Jacques-Cartier,4,0 days 02:12:45.067500,31,25
110,Roy / St-André,Métro St-Laurent ( de Maisonneuve / St-Laurent),27,0 days 02:08:55.482111111,43,834
111,de Bleury / de Maisonneuve,de Bellechasse / de Lanaudière,12,0 days 02:08:30.808333333,462,824
112,du Parc-Lafontaine / Rachel,Parc Molson (d'Iberville / Beaubien),7,0 days 02:07:27.462714285,176,769
113,Jeanne-Mance / Sherbrooke,Métro Papineau (Dorion / De Maisonneuve),8,0 days 02:05:38.044125,122,103
114,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),de Bellechasse / de Lanaudière,1,0 days 02:03:20.060000,823,824
115,des Carrières / Marquette,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),2,0 days 02:02:20.208500,130,214
116,Ball / Bloomfield,BAnQ (Berri),1,0 days 02:02:11.360000,514,836
117,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Métro Crémazie (Crémazie / Lajeunesse),2,0 days 02:01:43.281500,214,424
118,Place Valois (Valois / Ontario),Marché Jean-Talon (Casgrain / Shamrock),2,0 days 02:00:28.480000,676,794
119,Jeanne-Mance / René-Lévesque,Métro Viau ( Pierre-de-Coubertin / Viau),2,0 days 01:59:46.408000,582,329
120,St-Antoine / Jean-Paul Riopelle,Métro St-Laurent ( de Maisonneuve / St-Laurent),17,0 days 01:58:59.308882352,39,834
121,Rachel / de Brébeuf,du Parc-Lafontaine / Rachel,2,0 days 01:58:57.933000,144,176
122,Jeanne-Mance / René-Lévesque,Métro Champ-de-Mars (Viger / Sanguinet),1,0 days 01:58:01.357000,582,1
123,de l'Hôtel-de-Ville / Rachel,St-Antoine / Jean-Paul Riopelle,4,0 days 01:57:40.490250,309,39
124,de Maisonneuve / Aylmer (est),Atwater / Sherbrooke,8,0 days 01:57:07.023125,106,126
125,de Maisonneuve / Aylmer (est),Parc Jeanne-Mance (du Mont-Royal / du Parc),3,0 days 01:55:54.377000,106,220
126,de Maisonneuve / Mansfield (sud),Collège de Rosemont (Beaubien / 15e avenue),11,0 days 01:55:15.109272727,26,840
127,Métro St-Michel (Shaughnessy / St-Michel),de Maisonneuve / Aylmer (ouest),1,0 days 01:54:46.474000,349,68
128,Jacques-Casault / Christophe-Colomb,de Bellechasse / de Lanaudière,2,0 days 01:54:22.299000,491,824
129,Messier / St-Joseph,de Maisonneuve / Aylmer (est),4,0 days 01:51:18.259750,752,106
130,de la Commune / Place Jacques-Cartier,St-Rémi / Ste-Émilie,2,0 days 01:51:15.288000,25,379
131,de Maisonneuve / Mansfield (sud-est),des Pins / St-Laurent,22,0 days 01:48:36.352590909,421,209
132,Garnier / Beaubien,de l'Hôtel-de-Ville / Rachel,10,0 days 01:48:13.711500,47,309
133,Tolhurst / Fleury,Tolhurst / Fleury,7,0 days 01:45:49.757714285,515,515
134,Garnier / Beaubien,Place Valois (Valois / Ontario),3,0 days 01:44:27.211333333,47,676
135,Masson / Molson,Préfontaine / Marcel-Pépin,9,0 days 01:43:10.394666666,780,848
136,Fabrik8 (Waverly / Jean-Talon),Jeanne-Mance / René-Lévesque,1,0 days 01:41:34.882000,801,582
137,de Bellechasse / de Lanaudière,Roy / St-André,4,0 days 01:40:24.130500,824,43
138,Métro Frontenac (Ontario / du Havre),Métro St-Michel (Shaughnessy / St-Michel),1,0 days 01:39:48.924000,109,349
139,de Maisonneuve / Fullum,du Mont-Royal / de Brébeuf,3,0 days 01:39:44.712666666,97,157
140,Métro Sauvé (Berri / Sauvé),Métro Acadie (de l'Acadie / Beaumont),1,0 days 01:39:23.434000,208,501
141,du Havre / Hochelaga,de la Côte St-Paul / St-Ambroise,1,0 days 01:38:24.465000,80,567
142,de la Côte St-Paul / St-Ambroise,Aylwin / Ontario,1,0 days 01:38:06.717000,567,325
143,Complexe Desjardins (St-Urbain / René-Lévesque),des Érables / Rachel,6,0 days 01:36:36.058833333,888,142
144,Métro Peel (de Maisonneuve / Stanley),du Parc-Lafontaine / Rachel,4,0 days 01:35:48.871000,62,176
145,Métro Henri-Bourassa (Henri-Bourassa / Millen),St-Grégoire / Christophe-Colomb,1,0 days 01:34:58.540000,490,166
146,Métro Sauvé (Berri / Sauvé),Parc Jeanne-Mance (du Mont-Royal / du Parc),1,0 days 01:34:42.657000,208,220
147,Métro Sauvé (Berri / Sauvé),BAnQ (Berri),3,0 days 01:34:10.267666666,208,836
148,des Érables / Rachel,Complexe Desjardins (St-Urbain / René-Lévesque),17,0 days 01:32:54.994411764,142,888
149,du Havre / Hochelaga,Calixa-Lavallée / Rachel,7,0 days 01:32:51.205428571,80,143
150,St-Antoine / de la Montagne,Métro Joliette  (Hochelaga / Joliette),1,0 days 01:32:12.008000,305,322
151,Sherbrooke / Jeanne-d'Arc,Smith / Peel,1,0 days 01:31:00.092000,457,641
152,Molson / Wiliam-Tremblay,Métro Viau ( Pierre-de-Coubertin / Viau),2,0 days 01:30:55.812500,886,329
153,Jeanne-Mance / René-Lévesque,Ste-Catherine / Bishop,4,0 days 01:30:38.122750,582,87
154,St-Urbain / Laurier,CHSLD Robert Cliche (de Bellechasse / 16e avenue),5,0 days 01:30:07.148600,437,838
155,St-Denis / de Maisonneuve,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),3,0 days 01:29:37.529666666,15,797
156,Laurier / St-Denis,Fabrik8 (Waverly / Jean-Talon),7,0 days 01:27:12.617142857,558,801
157,Chabanel / du Parc,Chabanel / du Parc,4,0 days 01:26:35.984750,623,623
158,St-Jacques / Richmond,Complexe Desjardins (St-Urbain / René-Lévesque),1,0 days 01:26:35.571000,673,888
159,Métro Parc  (Hutchison / Ogilvy),Fabrik8 (Waverly / Jean-Talon),3,0 days 01:26:27.991666666,408,801
160,St-Antoine / Jean-Paul Riopelle,CHSLD Robert Cliche (de Bellechasse / 16e avenue),1,0 days 01:26:18.378000,39,838
161,Peel / Notre-Dame,Peel / Notre-Dame,26,0 days 01:26:06.556307692,77,77
162,de Maisonneuve / Aylmer (est),Parc Molson (d'Iberville / Beaubien),2,0 days 01:25:51.010000,106,769
163,Collège de Rosemont (Beaubien / 15e avenue),Métro St-Laurent ( de Maisonneuve / St-Laurent),1,0 days 01:24:21.888000,840,834
164,Parc St-Henri (Laporte / Guay),Square Viger (Berri / Viger),3,0 days 01:24:06.582666666,427,839
165,Villeray / de Normanville,CHSLD St-Michel (8e avenue / Jarry),1,0 days 01:22:02.627000,485,772
166,Molson / Wiliam-Tremblay,Garnier / Beaubien,17,0 days 01:21:52.604352941,886,47
167,Lanaudière / Jean-Talon,Lajeunesse / Villeray,14,0 days 01:21:34.231357142,271,489
168,Complexe Desjardins (St-Urbain / René-Lévesque),Omer-Lavallée / du Midway,1,0 days 01:21:08.098000,888,385
169,Messier / St-Joseph,Métro Atwater (Atwater / Ste-Catherine),3,0 days 01:20:48.728666666,752,83
170,Métro Laurier (Berri / St-Joseph),Messier / St-Joseph,137,0 days 01:20:06.816693430,537,752
